Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:10:09.514,61,0.046875,0.140625,0.1171875,0.0,0.0,0.046875,0.0,0.046875,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.09375,0.15625,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.046875,0.1328125,0.125,0.0390625,0.0546875,0.046875,0.046875,0.0859375,0.0,0.0,0.015625,0.140625,0.140625,0.203125,0.25,0.0
15:38:10:10.515,61,0.046875,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.046875,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.09375,0.15625,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.1328125,0.125,0.0390625,0.0546875,0.046875,0.046875,0.0859375,0.0,0.0,0.015625,0.140625,0.140625,0.203125,0.25,0.0
15:38:10:11.515,61,0.046875,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.046875,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.09375,0.15625,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.125,0.125,0.0390625,0.0546875,0.046875,0.046875,0.0859375,0.0,0.0,0.015625,0.1328125,0.140625,0.1953125,0.2421875,0.0
15:38:10:12.515,61,0.046875,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.046875,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.15625,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.125,0.125,0.0390625,0.0546875,0.046875,0.046875,0.0859375,0.0,0.0,0.015625,0.1328125,0.140625,0.1953125,0.2421875,0.0
15:38:10:13.515,61,0.046875,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.046875,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.15625,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.125,0.125,0.0390625,0.0546875,0.046875,0.046875,0.0859375,0.0,0.0,0.015625,0.1328125,0.1328125,0.1953125,0.2421875,0.0
15:38:10:14.515,61,0.03125,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.03125,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.125,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.1484375,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.125,0.125,0.0390625,0.046875,0.0390625,0.0390625,0.0859375,0.0,0.0,0.015625,0.1328125,0.1328125,0.1953125,0.2421875,0.0
15:38:10:15.515,61,0.0234375,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.0234375,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.09375,0.1171875,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.1484375,0.0,0.0,0.046875,0.0546875,0.1328125,0.1484375,0.09375,0.0390625,0.1171875,0.0625,0.046875,0.0390625,0.125,0.125,0.0390625,0.046875,0.0390625,0.0390625,0.0859375,0.0,0.0,0.015625,0.125,0.1328125,0.1953125,0.234375,0.0
15:38:10:16.515,61,0.0234375,0.1484375,0.1171875,0.0,0.0,0.046875,0.0,0.0234375,0.1484375,0.0078125,0.0,0.0,0.046875,0.0,0.046875,0.0,0.015625,0.0859375,0.1171875,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.1484375,0.0,0.0,0.046875,0.0546875,0.125,0.140625,0.09375,0.0390625,0.1171875,0.0625,0.0390625,0.0390625,0.1171875,0.1171875,0.0390625,0.046875,0.0390625,0.0390625,0.0859375,0.0,0.0,0.015625,0.125,0.125,0.1875,0.234375,0.0
15:38:10:17.515,61,0.0234375,0.1484375,0.1171875,0.0,0.0,0.0390625,0.0,0.0234375,0.1484375,0.0078125,0.0,0.0,0.0390625,0.0,0.046875,0.0,0.015625,0.0859375,0.109375,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.1484375,0.0,0.0,0.046875,0.0546875,0.125,0.140625,0.09375,0.0390625,0.1171875,0.0625,0.0390625,0.0390625,0.1171875,0.1171875,0.0390625,0.046875,0.0390625,0.0390625,0.0859375,0.0,0.0,0.015625,0.125,0.125,0.1875,0.234375,0.0
15:38:10:18.516,61,0.0234375,0.15625,0.1171875,0.0,0.0,0.0390625,0.0,0.0234375,0.15625,0.0078125,0.0,0.0,0.0390625,0.0,0.046875,0.0,0.015625,0.0859375,0.109375,0.0390625,0.0546875,0.0,0.0234375,0.0859375,0.1484375,0.0,0.0,0.046875,0.0546875,0.125,0.140625,0.09375,0.0390625,0.1171875,0.0625,0.0390625,0.0390625,0.1171875,0.1171875,0.0390625,0.046875,0.0390625,0.0390625,0.0859375,0.0,0.0,0.015625,0.125,0.125,0.1953125,0.234375,0.0
