Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
02:23:22:03.798,61,0.0,0.0546875,0.083984375,0.0,0.0,0.130859375,0.064453125,0.0,0.0546875,0.046875,0.0,0.0,0.130859375,0.064453125,0.037109375,0.0,0.0078125,0.095703125,0.123046875,0.060546875,0.091796875,0.005859375,0.0,0.1484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.119140625,0.123046875,0.080078125,0.04296875,0.095703125,0.048828125,0.056640625,0.052734375,0.146484375,0.140625,0.02734375,0.029296875,0.021484375,0.01953125,0.14453125,0.0,0.0,0.033203125,0.16015625,0.162109375,0.109375,0.119140625,0.0
02:23:22:04.798,61,0.0,0.052734375,0.083984375,0.0,0.0,0.1328125,0.06640625,0.0,0.05078125,0.046875,0.0,0.0,0.1328125,0.068359375,0.037109375,0.0,0.0078125,0.095703125,0.123046875,0.060546875,0.09375,0.005859375,0.0,0.1484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.119140625,0.123046875,0.080078125,0.04296875,0.095703125,0.05078125,0.056640625,0.052734375,0.14453125,0.140625,0.02734375,0.029296875,0.021484375,0.021484375,0.14453125,0.0,0.0,0.033203125,0.16015625,0.162109375,0.109375,0.119140625,0.0
02:23:22:05.798,61,0.0,0.05078125,0.0859375,0.0,0.0,0.134765625,0.068359375,0.0,0.05078125,0.044921875,0.0,0.0,0.134765625,0.068359375,0.037109375,0.0,0.0078125,0.095703125,0.123046875,0.060546875,0.09375,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.119140625,0.123046875,0.080078125,0.04296875,0.095703125,0.05078125,0.056640625,0.0546875,0.142578125,0.138671875,0.02734375,0.02734375,0.0234375,0.0234375,0.14453125,0.0,0.0,0.033203125,0.16015625,0.162109375,0.109375,0.119140625,0.0
02:23:22:06.798,61,0.0,0.048828125,0.087890625,0.0,0.0,0.13671875,0.0703125,0.0,0.048828125,0.04296875,0.0,0.0,0.13671875,0.0703125,0.037109375,0.0,0.005859375,0.095703125,0.12109375,0.05859375,0.09375,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.080078125,0.04296875,0.095703125,0.05078125,0.056640625,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.025390625,0.0234375,0.14453125,0.0,0.0,0.033203125,0.16015625,0.162109375,0.109375,0.119140625,0.0
02:23:22:07.798,61,0.0,0.046875,0.08984375,0.0,0.0,0.140625,0.0703125,0.0,0.046875,0.041015625,0.0,0.0,0.140625,0.0703125,0.037109375,0.0,0.005859375,0.095703125,0.12109375,0.05859375,0.09375,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.080078125,0.04296875,0.095703125,0.05078125,0.056640625,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.025390625,0.0234375,0.14453125,0.0,0.0,0.03515625,0.16015625,0.162109375,0.109375,0.119140625,0.0
02:23:22:08.798,61,0.0,0.044921875,0.08984375,0.0,0.0,0.142578125,0.072265625,0.0,0.044921875,0.041015625,0.0,0.0,0.142578125,0.072265625,0.037109375,0.0,0.005859375,0.09375,0.12109375,0.05859375,0.09375,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.08203125,0.04296875,0.09765625,0.05078125,0.056640625,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.025390625,0.0234375,0.14453125,0.0,0.0,0.03515625,0.16015625,0.1640625,0.111328125,0.119140625,0.0
02:23:22:09.798,61,0.0,0.044921875,0.08984375,0.0,0.0,0.142578125,0.072265625,0.0,0.044921875,0.041015625,0.0,0.0,0.142578125,0.072265625,0.037109375,0.0,0.005859375,0.09375,0.12109375,0.05859375,0.091796875,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.08203125,0.04296875,0.09765625,0.05078125,0.056640625,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.0234375,0.0234375,0.14453125,0.0,0.0,0.03515625,0.16015625,0.1640625,0.111328125,0.119140625,0.0
02:23:22:10.798,61,0.0,0.044921875,0.08984375,0.0,0.0,0.14453125,0.072265625,0.0,0.044921875,0.041015625,0.0,0.0,0.14453125,0.07421875,0.037109375,0.0,0.005859375,0.09375,0.12109375,0.05859375,0.091796875,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.08203125,0.04296875,0.09765625,0.05078125,0.05859375,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.0234375,0.0234375,0.14453125,0.0,0.0,0.03515625,0.16015625,0.1640625,0.111328125,0.119140625,0.0
02:23:22:11.799,61,0.0,0.044921875,0.08984375,0.0,0.0,0.14453125,0.07421875,0.0,0.044921875,0.041015625,0.0,0.0,0.14453125,0.07421875,0.037109375,0.0,0.005859375,0.095703125,0.12109375,0.05859375,0.091796875,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.08203125,0.04296875,0.09765625,0.05078125,0.05859375,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.0234375,0.021484375,0.14453125,0.0,0.0,0.03515625,0.16015625,0.1640625,0.111328125,0.119140625,0.0
02:23:22:12.799,61,0.0,0.04296875,0.08984375,0.0,0.0,0.146484375,0.07421875,0.0,0.04296875,0.041015625,0.0,0.0,0.146484375,0.07421875,0.037109375,0.0,0.005859375,0.095703125,0.12109375,0.056640625,0.091796875,0.005859375,0.0,0.146484375,0.17578125,0.0,0.0,0.052734375,0.056640625,0.1171875,0.12109375,0.08203125,0.04296875,0.09765625,0.05078125,0.05859375,0.0546875,0.142578125,0.138671875,0.025390625,0.02734375,0.0234375,0.021484375,0.14453125,0.0,0.0,0.03515625,0.162109375,0.1640625,0.111328125,0.119140625,0.0
