Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:10:09.514,61,0.0473927036,0.1444487274,0.1198447347,0.0,0.0,0.0457666889,0.0,0.0474617183,0.144676879,0.0054140994,0.0,0.0,0.0457649305,0.0,0.0447765663,0.0,0.0131261442,0.0918848962,0.1233751774,0.0398989283,0.0510574691,0.0,0.025125308,0.0919473022,0.1573019475,0.0,0.0,0.0474631414,0.0528642461,0.1352837682,0.1487513334,0.0965744555,0.0388739444,0.1148562431,0.0613622665,0.0437773876,0.0429996066,0.1300615817,0.1267456412,0.0417396612,0.0510458536,0.0463983305,0.0462760851,0.0840011165,0.0,0.0,0.0149640217,0.1384080797,0.1432743967,0.2012409717,0.2483969778,1.367e-07
15:38:10:10.515,61,0.0487535372,0.1464572549,0.1179358512,0.0,0.0,0.0454746,0.0,0.0488163345,0.1466774642,0.0073750867,0.0,0.0,0.0454729125,0.0,0.0447145924,0.0,0.0131615354,0.0921167433,0.1236958876,0.0399523824,0.0512324162,0.0,0.0253521167,0.0914562866,0.1569371372,0.0,0.0,0.0475210138,0.0529453158,0.135218069,0.1487556696,0.0962749496,0.0389097594,0.1145904958,0.061221309,0.0436756462,0.0428926945,0.1303996146,0.1271807104,0.0417766608,0.0511240996,0.0465212464,0.0463996008,0.0838852748,0.0,0.0,0.0149188899,0.1370602399,0.142205596,0.2022347003,0.2495079935,1.244e-07
15:38:10:11.515,61,0.0493368842,0.1483644396,0.1153959632,0.0,0.0,0.0450979695,0.0,0.0493989326,0.1485716701,0.0099576935,0.0,0.0,0.0450962745,0.0,0.0444536507,0.0,0.0131686134,0.0918674469,0.1233517155,0.0398367271,0.0514024608,0.0,0.0258474834,0.0899305791,0.1563700289,0.0,0.0,0.0473576486,0.0528052486,0.1347139031,0.1483799815,0.0948076248,0.0387393646,0.1143653095,0.0611586832,0.0434934348,0.042709332,0.128822729,0.1265367717,0.0416572317,0.051039096,0.0465333425,0.0464116558,0.0834956765,0.0,0.0,0.0148717435,0.1333140731,0.1384834945,0.1983548254,0.2424833924,1.171e-07
15:38:10:12.515,61,0.049305439,0.1496489197,0.1152452752,0.0,0.0,0.0448653512,0.0,0.0493676625,0.1498579234,0.0102234138,0.0,0.0,0.0448635891,0.0,0.0444214568,0.0,0.0133687118,0.0917458236,0.1231504679,0.0397893973,0.0516890697,0.0,0.0262339935,0.0891449451,0.1557097435,0.0,0.0,0.0472661033,0.0527347811,0.1344094425,0.1483011842,0.0944046229,0.0386715122,0.1144450977,0.0612304695,0.0434764512,0.0426695384,0.1283447444,0.126327768,0.0415925533,0.0509854481,0.046183832,0.0460613854,0.0834512711,0.0,0.0,0.0148994885,0.1322464496,0.1373910308,0.1976023614,0.2410437465,8.09e-08
15:38:10:13.515,61,0.0446556918,0.1495340317,0.116106011,0.0,0.0,0.0445633456,0.0,0.0447455496,0.1497487575,0.0093789259,0.0,0.0,0.0445615537,0.0,0.0442427844,0.0,0.0134393368,0.0913179144,0.1223963574,0.0395231657,0.0516782068,0.0,0.0264195222,0.0873458907,0.1535753459,0.0,0.0,0.0470184572,0.0524836816,0.1339349896,0.1479287893,0.0939176232,0.0385107808,0.114315331,0.0612242855,0.0433388911,0.0425245613,0.127355814,0.1252480447,0.0414186604,0.0507875383,0.0453029722,0.0451813415,0.0832882077,0.0,0.0,0.0148661109,0.1312601119,0.1364103109,0.1969316751,0.2400846332,5.7e-08
15:38:10:14.515,61,0.0278021153,0.1494179517,0.1157899946,0.0,0.0,0.0443262234,0.0,0.0279620737,0.1496301889,0.0096938927,0.0,0.0,0.0443243384,0.0,0.0442856699,0.0,0.0136164334,0.0912453756,0.1221161783,0.0393679589,0.0517936908,0.0,0.0267243963,0.0854193792,0.1510563344,0.0,0.0,0.0468912534,0.0523784757,0.1337750554,0.1480242461,0.0938852653,0.0384762175,0.1144567057,0.0613099113,0.0433221571,0.0424966663,0.1268102825,0.1247143894,0.0412191078,0.0505622774,0.0410526283,0.0409413278,0.0834365636,0.0,0.0,0.0148865841,0.1307933182,0.135922119,0.1966434419,0.2397486567,6.74e-08
15:38:10:15.515,61,0.0235046074,0.1500719488,0.1151986346,0.0,0.0,0.043877475,0.0,0.0236791912,0.150281474,0.0103530576,0.0,0.0,0.0438756049,0.0,0.0439992808,0.0,0.0135837253,0.0898477063,0.1188790426,0.0389300846,0.0516398326,0.0,0.0265875682,0.0848279521,0.1500646472,0.0,0.0,0.0465782546,0.0520304739,0.1320499629,0.1454667002,0.09344697,0.0382561758,0.114076443,0.0611565076,0.0431576371,0.0423323549,0.1248082072,0.1218272746,0.0409523211,0.050215777,0.0398401767,0.0397292487,0.0833716616,0.0,0.0,0.014848548,0.1286995262,0.1338670701,0.1923562437,0.2343505919,1.417e-07
15:38:10:16.515,61,0.021565808,0.1513422877,0.1147238612,0.0,0.0,0.0432475582,0.0,0.0217439942,0.1515512466,0.0109363021,0.0,0.0,0.0432457216,0.0,0.0434395596,0.0,0.013628101,0.0865826607,0.1134560183,0.0383434817,0.0513648689,0.0,0.0263256151,0.0846266672,0.1493298262,0.0,0.0,0.0461638309,0.051549349,0.1274448633,0.1402300149,0.0914058983,0.0378858224,0.1135740355,0.0610053055,0.0429264046,0.0420939885,0.1202732176,0.1169077307,0.0406823419,0.0498399287,0.0396266505,0.0395144932,0.0829384848,0.0,0.0,0.014774166,0.1234883144,0.1283119023,0.1904831678,0.2317801565,1.834e-07
15:38:10:17.515,61,0.0202908255,0.1517125219,0.1146679372,0.0,0.0,0.0428510644,0.0,0.020467557,0.1519218534,0.0110424738,0.0,0.0,0.0428492315,0.0,0.0431727618,0.0,0.0136040291,0.0854475126,0.1116609871,0.0379390903,0.0512285382,0.0,0.0262422618,0.0841774493,0.1486302614,0.0,0.0,0.0458544269,0.0512083583,0.1259702444,0.1386244744,0.0907741114,0.0376721658,0.1134182513,0.0609919317,0.0428200103,0.0419842601,0.1186500788,0.1151377559,0.0404445156,0.0495302863,0.0390603915,0.0389463641,0.0827436969,0.0,0.0,0.0147656556,0.122055918,0.1268248856,0.1897280961,0.2309381366,2.034e-07
15:38:10:18.516,61,0.0223700106,0.1524204761,0.1149889678,0.0,0.0,0.0424928702,0.0,0.0224890057,0.1526336223,0.01077573,0.0,0.0,0.0424910784,0.0,0.0430083387,0.0,0.0135733662,0.0848651156,0.1108638272,0.0377737507,0.0512990244,0.0,0.026015155,0.0843956098,0.1484547853,0.0,0.0,0.0457079746,0.0510292761,0.1252218336,0.1378034353,0.0906501338,0.0375329703,0.113590315,0.0611481033,0.0429196693,0.0420738123,0.1180861145,0.1144681498,0.0404572114,0.0494959727,0.0392603129,0.0391441621,0.0827699751,0.0,0.0,0.0148401028,0.1221058294,0.1270767748,0.1924443692,0.2365888953,2.263e-07
