Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
02:23:22:03.798,61,0.0,0.053948,0.083345,0.0,0.0,0.13137,0.064787,0.0,0.053817,0.047304,0.0,0.0,0.131371,0.065047,0.037561,0.0,0.007319,0.096677,0.124001,0.06062,0.092496,0.006042,0.0,0.148979,0.176466,0.0,0.0,0.053366,0.056675,0.119571,0.12342,0.079387,0.042773,0.094767,0.049496,0.05606,0.053434,0.145877,0.14128,0.027189,0.028852,0.020647,0.020097,0.145109,0.0,0.0,0.032724,0.159693,0.16265,0.109775,0.119247,0.000413
02:23:22:04.798,61,0.0,0.051811,0.083857,0.0,0.0,0.132422,0.067164,0.0,0.051679,0.046788,0.0,0.0,0.132424,0.067414,0.037221,0.0,0.007114,0.095892,0.123014,0.06029,0.09286,0.005956,0.0,0.147917,0.175795,0.0,0.0,0.052905,0.056203,0.118912,0.122817,0.079554,0.042509,0.095315,0.04981,0.056281,0.053647,0.144271,0.139879,0.026917,0.028548,0.021195,0.020637,0.144802,0.0,0.0,0.033142,0.15961,0.162666,0.109916,0.119359,0.000463
02:23:22:05.798,61,0.0,0.051465,0.085516,0.0,0.0,0.134043,0.068302,0.0,0.051338,0.045137,0.0,0.0,0.134044,0.068549,0.036973,0.0,0.006967,0.095396,0.122407,0.059951,0.093064,0.005863,0.0,0.147175,0.175339,0.0,0.0,0.052643,0.055936,0.118386,0.122331,0.079879,0.042399,0.095787,0.050057,0.056567,0.053926,0.143501,0.139192,0.026641,0.028246,0.02402,0.02339,0.144558,0.0,0.0,0.033534,0.159559,0.162655,0.110008,0.119406,0.000425
02:23:22:06.798,61,0.0,0.04824,0.087585,0.0,0.0,0.137388,0.069627,0.0,0.048114,0.043072,0.0,0.0,0.137388,0.069875,0.036764,0.0,0.006825,0.095011,0.121904,0.059485,0.093161,0.005764,0.0,0.146717,0.175074,0.0,0.0,0.052473,0.055775,0.117947,0.121948,0.080265,0.04235,0.096275,0.050286,0.056821,0.054171,0.142843,0.138578,0.026345,0.027917,0.024741,0.024088,0.144233,0.0,0.0,0.033914,0.159717,0.162839,0.110136,0.119471,0.000396
02:23:22:07.798,61,0.0,0.046656,0.089001,0.0,0.0,0.139786,0.070454,0.0,0.046532,0.041652,0.0,0.0,0.139786,0.070703,0.036648,0.0,0.006761,0.094833,0.121611,0.059072,0.093062,0.00569,0.0,0.146722,0.175152,0.0,0.0,0.052495,0.055819,0.11767,0.121738,0.080726,0.042433,0.096668,0.050438,0.05707,0.054409,0.142683,0.138443,0.02608,0.027624,0.024966,0.0243,0.144188,0.0,0.0,0.034202,0.159918,0.163016,0.110223,0.119469,0.000292
02:23:22:08.798,61,0.0,0.045681,0.089665,0.0,0.0,0.141776,0.07155,0.0,0.045557,0.041014,0.0,0.0,0.141777,0.071806,0.036559,0.0,0.006721,0.094686,0.121376,0.0587,0.092941,0.005616,0.0,0.146891,0.175363,0.0,0.0,0.052513,0.055865,0.117466,0.121601,0.081197,0.042505,0.097106,0.05062,0.057327,0.054654,0.142605,0.138393,0.025859,0.027376,0.024663,0.023997,0.144306,0.0,0.0,0.034508,0.160363,0.16346,0.110423,0.11958,0.000229
02:23:22:09.798,61,0.0,0.044581,0.090095,0.0,0.0,0.143226,0.072362,0.0,0.044456,0.040628,0.0,0.0,0.143226,0.072621,0.036517,0.0,0.006699,0.094586,0.121178,0.058302,0.092702,0.00558,0.0,0.147105,0.175557,0.0,0.0,0.052623,0.056004,0.117302,0.121507,0.081645,0.042636,0.097413,0.050727,0.057539,0.054851,0.142726,0.138536,0.025644,0.027129,0.024093,0.023434,0.144366,0.0,0.0,0.034773,0.160635,0.163724,0.110521,0.119549,0.000229
02:23:22:10.798,61,0.0,0.044228,0.090178,0.0,0.0,0.144212,0.073118,0.0,0.044103,0.040573,0.0,0.0,0.144213,0.07338,0.036477,0.0,0.00668,0.094602,0.121153,0.058006,0.09252,0.005559,0.0,0.147226,0.175675,0.0,0.0,0.052724,0.056131,0.117235,0.121489,0.082053,0.042771,0.097619,0.050777,0.057729,0.055026,0.142986,0.138819,0.025446,0.026904,0.023524,0.022873,0.144478,0.0,0.0,0.035013,0.160901,0.163989,0.110635,0.119542,0.000228
02:23:22:11.799,61,0.0,0.044354,0.090602,0.0,0.0,0.144874,0.073822,0.0,0.04423,0.040217,0.0,0.0,0.144874,0.074086,0.03648,0.0,0.006671,0.094761,0.121276,0.057679,0.09236,0.005553,0.0,0.147385,0.175807,0.0,0.0,0.052886,0.05632,0.117229,0.121536,0.082499,0.042969,0.097783,0.050792,0.057924,0.055206,0.143369,0.139222,0.025242,0.026673,0.022952,0.02231,0.14472,0.0,0.0,0.035223,0.161053,0.16414,0.110752,0.119549,0.000262
02:23:22:12.799,61,0.0,0.043929,0.090432,0.0,0.0,0.145564,0.074802,0.0,0.043804,0.040423,0.0,0.0,0.145564,0.075072,0.036447,0.0,0.006653,0.094777,0.121252,0.057437,0.092354,0.005636,0.0,0.147411,0.175714,0.0,0.0,0.05293,0.056368,0.117166,0.1215,0.082805,0.043057,0.09799,0.050854,0.05812,0.055385,0.143551,0.139397,0.025063,0.026458,0.02269,0.022046,0.144905,0.0,0.0,0.035465,0.161294,0.164368,0.110922,0.119589,0.000432
