Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
01:38:51:14.001,61,0.106404528,0.117343955,0.20256798,0,0,0.07521081,0,0.106405616,0.117958054,0,0.076627716,0,0.07518661,0,0.024755018,0,0.025122175,0.087096475,0.117418252,0.070458382,0.092512891,0,0.024636759,0.113132484,0.163224533,0,0,0.033265803,0.037183877,0.089169085,0.098126017,0.058229197,0.025397077,0.108879484,0.068655968,0.055991311,0.052433383,0.127849087,0.130164981,0.050281454,0.060113523,0.066775262,0.06662041,0.097669996,0,0,0.021051716,0.170708001,0.171200976,0.184529752,0.226274699,4.34E-08
01:38:51:15.001,61,0.104117289,0.114088826,0.205764115,0,0,0.075679325,0,0.104118168,0.114698872,0,0.079871453,0,0.075654954,0,0.024945969,0,0.025208822,0.08769998,0.117757618,0.073284432,0.092742242,0,0.024359178,0.10875424,0.158357814,0,0,0.033289239,0.037165243,0.089947335,0.099272884,0.057671055,0.02524972,0.10884431,0.068740979,0.055681314,0.05218862,0.128234357,0.130389556,0.051062416,0.061273217,0.066356547,0.066193357,0.097366445,0,0,0.020859871,0.171226636,0.171333134,0.182940051,0.223837599,6.75E-08
01:38:51:16.001,61,0.098501429,0.109629251,0.209680691,0,0,0.076074503,0,0.098502278,0.110229746,0,0.083845824,0,0.076049984,0,0.025213733,0,0.025325298,0.088207871,0.117984176,0.074910432,0.092798233,0,0.024005517,0.104139239,0.154168591,0,0,0.033305697,0.037145764,0.090851635,0.100560941,0.057191469,0.02510836,0.108939774,0.068921007,0.055387396,0.051960189,0.128676251,0.13067092,0.051847205,0.062383693,0.062787481,0.062568367,0.097153083,0,0,0.020675039,0.171503186,0.171257421,0.18190217,0.22243762,7.11E-08
01:38:51:17.001,61,0.09403608,0.101047948,0.215120524,0,0,0.077507466,0,0.094036847,0.101615183,0,0.089462869,0,0.077478305,0,0.025440391,0,0.025514863,0.088481396,0.118003577,0.076070324,0.093080543,0,0.02360658,0.0965949,0.144354329,0,0,0.03329536,0.037093859,0.091582008,0.101489037,0.056742862,0.024977349,0.109122708,0.069113143,0.055186831,0.051803976,0.128666014,0.130506262,0.052307919,0.062898234,0.061180238,0.060926229,0.097134985,0,0,0.020586699,0.171247363,0.169555873,0.17002961,0.206602901,6.73E-08
01:38:51:18.002,61,0.085975409,0.098150984,0.221841201,0,0,0.078335948,0,0.085977048,0.098728642,0,0.096285112,0,0.078305244,0,0.02576758,0,0.025755458,0.088822015,0.117830306,0.076951347,0.093047857,0,0.023234462,0.094147377,0.141375259,0,0,0.033351008,0.037119549,0.093310393,0.104026049,0.056368332,0.024835197,0.109285861,0.069355056,0.05497304,0.05164339,0.12919189,0.130870462,0.052960698,0.063619807,0.060336135,0.060069639,0.097003244,0,0,0.020451833,0.170932829,0.168672085,0.166527256,0.202256292,1.101E-07
01:38:51:19.001,61,0.078614622,0.096047677,0.224572867,0,0,0.080028184,0,0.078616411,0.09662196,0,0.099091657,0,0.079993181,0,0.026243445,0,0.026173502,0.089583829,0.117523693,0.079344869,0.092968255,0,0.022852134,0.09306474,0.139970899,0,0,0.033470839,0.037214961,0.095531963,0.107205987,0.055957776,0.02474503,0.109208614,0.069477409,0.054744382,0.051449243,0.133822516,0.134475231,0.053653833,0.064345457,0.057941105,0.057652667,0.097078748,0,0,0.020333204,0.170985878,0.168225542,0.162531257,0.198766068,0.000000148
01:38:51:20.002,61,0.067380451,0.092128657,0.228263468,0,0,0.081407756,0,0.067380786,0.092689291,0,0.102826737,0,0.081369788,0,0.026825173,0,0.026676929,0.093280911,0.117222175,0.082195289,0.092929475,0,0.022581618,0.093105629,0.140378937,0,0,0.033672247,0.037405431,0.098043755,0.11060337,0.055536382,0.024722904,0.108893991,0.06946753,0.05449573,0.051221576,0.142848522,0.143782631,0.054499544,0.065456457,0.055428024,0.055136684,0.097119987,0,0,0.020223232,0.171296567,0.168186575,0.160184994,0.196804062,1.695E-07
01:38:51:21.002,61,0.061815154,0.08819373,0.23563765,0,0,0.082846209,0,0.061815575,0.088754453,0,0.110312946,0,0.082804591,0,0.02743821,0,0.027071387,0.094753005,0.117013015,0.083605483,0.092878968,0,0.022430988,0.093203157,0.141178623,0,0,0.033851001,0.037585206,0.100793578,0.113831446,0.055193819,0.024693579,0.108704932,0.069513381,0.054239649,0.050990708,0.146099404,0.147368923,0.055244338,0.066433162,0.053944089,0.05365622,0.09713728,0,0,0.020128882,0.171847329,0.168451771,0.158928379,0.19576481,6.706E-07
01:38:51:22.002,61,0.053907085,0.086843252,0.237963796,0,0,0.083997197,0,0.053909317,0.087402813,0,0.112560704,0,0.083952852,0,0.028085321,0,0.027385302,0.096153922,0.117387414,0.08448866,0.092878074,0,0.022442628,0.093343988,0.143172517,0,0,0.03401836,0.037757132,0.102774471,0.116040744,0.054906022,0.024763225,0.108237751,0.06928438,0.053868469,0.050650206,0.147928014,0.149383172,0.055635888,0.066941567,0.052006152,0.051741485,0.097296484,0,0,0.020043833,0.174310654,0.169930041,0.15828459,0.195349559,7.561E-07
01:38:51:23.002,61,0.044648461,0.080768265,0.244569078,0,0,0.086220853,0,0.044649109,0.081302851,0,0.119346142,0,0.086169839,0,0.029488038,0,0.027704716,0.09723495,0.117727101,0.085273378,0.092522919,0,0.022361288,0.103704907,0.160179526,0,0,0.034268607,0.0380232,0.106641397,0.11991144,0.054773573,0.024864687,0.107935593,0.069175601,0.053518388,0.050324526,0.153203398,0.156098127,0.056260508,0.06771937,0.043702275,0.043445721,0.097751752,0,0,0.019955609,0.193886951,0.185814589,0.158213705,0.195454925,1.9229E-06
