    Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll
02:23:22:03.798,61,1.771e-07,0.0539477393,0.0833447576,0.0,0.0,0.1313696653,0.0647872388,1.771e-07,0.0538166426,0.0473039746,0.0,0.0,0.1313710064,0.0650474131,0.037561249,0.0,0.0073193512,0.0966774076,0.1240006909,0.0606199726,0.0924959406,0.006041605,0.0,0.1489786804,0.1764660031,0.0,0.0,0.0533660874,0.0566752218,0.119570747,0.123420313,0.0793868452,0.0427730121,0.0947670788,0.0494957007,0.0560597964,0.0534337349,0.1458768696,0.1412797421,0.0271886233,0.0288521461,0.0206473134,0.0200966541,0.1451093405,0.0,0.0,0.0327237584,0.1596927047,0.1626501977,0.1097745821,0.1192472503,0.0004128895,0.024117833,-0.0995982289,0.1710173488
02:23:22:04.798,61,1.63e-07,0.0518107302,0.0838567242,0.0,0.0,0.1324222684,0.0671640486,1.629e-07,0.0516791418,0.0467882901,0.0,0.0,0.1324236244,0.0674139336,0.0372209363,0.0,0.0071141967,0.0958923623,0.1230139583,0.0602904446,0.0928599164,0.0059557674,0.0,0.1479170173,0.1757954359,0.0,0.0,0.052905336,0.0562033206,0.1189122722,0.1228167936,0.0795544237,0.0425093882,0.0953146145,0.049810458,0.0562806353,0.0536467731,0.1442707181,0.1398788393,0.0269168857,0.0285478234,0.0211953223,0.0206366293,0.1448019296,0.0,0.0,0.0331423655,0.1596098542,0.1626656801,0.1099160537,0.1193589121,0.000463058,0.024376262,-0.1004448012,0.1709786803
02:23:22:05.798,61,1.5e-07,0.0514654033,0.0855159909,0.0,0.0,0.1340429485,0.0683021694,1.5e-07,0.0513376556,0.0451365709,0.0,0.0,0.1340440512,0.0685490891,0.0369727239,0.0,0.0069669043,0.0953961685,0.1224071756,0.059951257,0.0930635259,0.005863172,0.0,0.1471754462,0.1753387302,0.0,0.0,0.0526430793,0.0559357852,0.1183862761,0.1223308146,0.0798792243,0.0423994996,0.0957873315,0.0500565097,0.0565666966,0.0539263859,0.1435013711,0.1391921341,0.0266412366,0.028245559,0.0240195617,0.0233901311,0.1445576102,0.0,0.0,0.0335341543,0.1595585346,0.1626548469,0.1100084186,0.1194063947,0.0004245318,0.0248811468,-0.1015238687,0.1706775278
02:23:22:06.798,61,1.381e-07,0.0482404344,0.0875848308,0.0,0.0,0.1373875737,0.0696265548,1.38e-07,0.0481144674,0.0430716574,0.0,0.0,0.1373883486,0.0698749721,0.0367641225,0.0,0.0068250378,0.0950111896,0.1219041198,0.0594848208,0.0931613967,0.005763832,0.0,0.1467166841,0.1750740111,0.0,0.0,0.0524727888,0.0557749197,0.1179469526,0.1219482645,0.0802650228,0.0423496291,0.0962754562,0.050285995,0.0568212233,0.0541710071,0.1428433657,0.1385777891,0.0263451803,0.0279172026,0.0247407686,0.0240879096,0.1442331076,0.0,0.0,0.033913549,0.159717083,0.1628389359,0.1101360992,0.1194710433,0.0003964613,0.0257810373,-0.1027004421,0.1702242941
02:23:22:07.798,61,1.271e-07,0.0466560684,0.0890013129,0.0,0.0,0.1397857219,0.0704536214,1.27e-07,0.0465316661,0.0416522957,0.0,0.0,0.1397862434,0.0707032979,0.0366483852,0.0,0.0067612622,0.0948331058,0.1216109544,0.0590722226,0.0930617973,0.0056899898,0.0,0.1467220038,0.1751521826,0.0,0.0,0.0524945408,0.055819463,0.1176704019,0.1217383593,0.0807260796,0.0424326025,0.0966679081,0.0504381768,0.0570703968,0.0544094592,0.1426834911,0.1384432167,0.0260802433,0.0276239738,0.0249661915,0.024299616,0.1441876292,0.0,0.0,0.0342015885,0.1599184573,0.1630161256,0.1102227494,0.1194693744,0.0002916475,0.0265597254,-0.103938669,0.1697662026
02:23:22:08.798,61,1.169e-07,0.0456807837,0.0896645039,0.0,0.0,0.1417764276,0.0715502053,1.169e-07,0.0455567129,0.0410135426,0.0,0.0,0.1417767853,0.0718059987,0.0365586914,0.0,0.0067205424,0.0946856886,0.121375829,0.0586998016,0.0929408893,0.0056162616,0.0,0.1468913555,0.1753627807,0.0,0.0,0.0525125302,0.0558649227,0.1174660325,0.1216010153,0.0811969116,0.0425053313,0.0971064493,0.050619822,0.0573269874,0.0546544753,0.1426046938,0.1383926719,0.0258591808,0.0273756701,0.0246632621,0.0239973068,0.1443061531,0.0,0.0,0.0345081054,0.1603625417,0.1634601504,0.1104225814,0.1195802614,0.0002290121,0.027090745,-0.1050572693,0.1692253351
02:23:22:09.798,61,1.076e-07,0.0445809215,0.0900945291,0.0,0.0,0.1432255507,0.072361663,1.076e-07,0.0444564261,0.040628016,0.0,0.0,0.143225804,0.0726213232,0.0365174934,0.0,0.0066986079,0.0945861936,0.1211781949,0.0583023429,0.0927018002,0.0055797333,0.0,0.1471051872,0.1755566299,0.0,0.0,0.0526231192,0.0560038127,0.1173022017,0.1215070039,0.0816453472,0.0426356196,0.0974125266,0.0507265069,0.0575388409,0.0548512153,0.1427263618,0.138536334,0.025643833,0.0271293912,0.0240926649,0.0234339423,0.1443660557,0.0,0.0,0.0347726978,0.1606345922,0.1637243629,0.1105210185,0.119549185,0.0002286301,0.0270451363,-0.1064832434,0.1688198149
02:23:22:10.798,61,9.9e-08,0.0442281812,0.0901780725,0.0,0.0,0.1442124993,0.0731178373,9.9e-08,0.0441033989,0.0405734926,0.0,0.0,0.1442127079,0.0733803511,0.0364767201,0.0,0.006679534,0.0946018398,0.1211527362,0.0580064878,0.0925199315,0.0055587715,0.0,0.147225827,0.1756750792,0.0,0.0,0.0527244285,0.0561308637,0.1172347441,0.1214885488,0.0820526406,0.0427713841,0.0976193771,0.0507766381,0.0577294007,0.0550264642,0.1429857463,0.1388188452,0.0254460871,0.0269038845,0.0235238038,0.0228729546,0.1444779932,0.0,0.0,0.0350133181,0.1609011739,0.1639894545,0.1106349155,0.1195419058,0.000228238,0.0263922308,-0.1080693007,0.1685565412
02:23:22:11.799,61,9.11e-08,0.0443541594,0.0906019881,0.0,0.0,0.1448740363,0.0738220215,9.11e-08,0.0442303047,0.0402170382,0.0,0.0,0.1448742151,0.0740863085,0.0364798233,0.0,0.0066713062,0.0947607309,0.1212755665,0.0576793849,0.0923603773,0.0055531766,0.0,0.14738518,0.1758073717,0.0,0.0,0.0528858304,0.0563201979,0.1172293946,0.1215364337,0.0824987665,0.0429691523,0.097783342,0.0507915542,0.0579244792,0.0552056991,0.1433691531,0.1392221153,0.0252418816,0.0266728364,0.0229524635,0.0223099161,0.144720003,0.0,0.0,0.0352226011,0.1610532403,0.1641398966,0.1107518896,0.1195487902,0.0002621004,0.0257712305,-0.1090273559,0.168566823
02:23:22:12.799,61,8.39e-08,0.0439291075,0.0904324576,0.0,0.0,0.1455637217,0.0748020634,8.39e-08,0.0438043065,0.04042276,0.0,0.0,0.1455638707,0.0750715584,0.0364467464,0.0,0.0066534961,0.0947773531,0.121252358,0.0574374162,0.0923542604,0.0056364364,0.0,0.1474108696,0.1757135093,0.0,0.0,0.0529303141,0.0563680343,0.1171662733,0.121499978,0.0828052759,0.0430570133,0.0979904234,0.0508539304,0.0581199266,0.055385381,0.1435505152,0.1393969208,0.0250630062,0.0264581144,0.0226902198,0.0220462941,0.1449053288,0.0,0.0,0.0354650952,0.1612942666,0.1643679589,0.1109221652,0.1195893362,0.0004321362,0.0254014935,-0.1103239954,0.1692511141
02:23:22:13.799,61,7.72e-08,0.0433190875,0.0902609304,0.0,0.0,0.1461313218,0.0754576698,7.72e-08,0.0431931131,0.040641848,0.0,0.0,0.1461314559,0.075729765,0.0363301486,0.0,0.0066167759,0.0946295112,0.1210586727,0.0571136996,0.0923797488,0.0057834517,0.0,0.1470690817,0.174999699,0.0,0.0,0.0528284162,0.0562513545,0.1169885695,0.1213475466,0.0830181167,0.0430378616,0.0981751829,0.0509213768,0.0582449287,0.0554929301,0.143457666,0.1392626166,0.0248753577,0.0262267012,0.0227180477,0.0220658444,0.1449670196,0.0,0.0,0.0356866121,0.1613049209,0.1643470675,0.1109997556,0.1195292398,0.0005072926,0.0251350775,-0.1114677191,0.1699428111
