Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:10:09.514,61,0.047393,0.144449,0.119845,0.0,0.0,0.045767,0.0,0.047462,0.144677,0.005414,0.0,0.0,0.045765,0.0,0.044777,0.0,0.013126,0.091885,0.123375,0.039899,0.051057,0.0,0.025125,0.091947,0.157302,0.0,0.0,0.047463,0.052864,0.135284,0.148751,0.096574,0.038874,0.114856,0.061362,0.043777,0.043,0.130062,0.126746,0.04174,0.051046,0.046398,0.046276,0.084001,0.0,0.0,0.014964,0.138408,0.143274,0.201241,0.248397,0.0
15:38:10:10.515,61,0.048754,0.146457,0.117936,0.0,0.0,0.045475,0.0,0.048816,0.146677,0.007375,0.0,0.0,0.045473,0.0,0.044715,0.0,0.013162,0.092117,0.123696,0.039952,0.051232,0.0,0.025352,0.091456,0.156937,0.0,0.0,0.047521,0.052945,0.135218,0.148756,0.096275,0.03891,0.11459,0.061221,0.043676,0.042893,0.1304,0.127181,0.041777,0.051124,0.046521,0.0464,0.083885,0.0,0.0,0.014919,0.13706,0.142206,0.202235,0.249508,0.0
15:38:10:11.515,61,0.049337,0.148364,0.115396,0.0,0.0,0.045098,0.0,0.049399,0.148572,0.009958,0.0,0.0,0.045096,0.0,0.044454,0.0,0.013169,0.091867,0.123352,0.039837,0.051402,0.0,0.025847,0.089931,0.15637,0.0,0.0,0.047358,0.052805,0.134714,0.14838,0.094808,0.038739,0.114365,0.061159,0.043493,0.042709,0.128823,0.126537,0.041657,0.051039,0.046533,0.046412,0.083496,0.0,0.0,0.014872,0.133314,0.138483,0.198355,0.242483,0.0
15:38:10:12.515,61,0.049305,0.149649,0.115245,0.0,0.0,0.044865,0.0,0.049368,0.149858,0.010223,0.0,0.0,0.044864,0.0,0.044421,0.0,0.013369,0.091746,0.12315,0.039789,0.051689,0.0,0.026234,0.089145,0.15571,0.0,0.0,0.047266,0.052735,0.134409,0.148301,0.094405,0.038672,0.114445,0.06123,0.043476,0.04267,0.128345,0.126328,0.041593,0.050985,0.046184,0.046061,0.083451,0.0,0.0,0.014899,0.132246,0.137391,0.197602,0.241044,0.0
15:38:10:13.515,61,0.044656,0.149534,0.116106,0.0,0.0,0.044563,0.0,0.044746,0.149749,0.009379,0.0,0.0,0.044562,0.0,0.044243,0.0,0.013439,0.091318,0.122396,0.039523,0.051678,0.0,0.02642,0.087346,0.153575,0.0,0.0,0.047018,0.052484,0.133935,0.147929,0.093918,0.038511,0.114315,0.061224,0.043339,0.042525,0.127356,0.125248,0.041419,0.050788,0.045303,0.045181,0.083288,0.0,0.0,0.014866,0.13126,0.13641,0.196932,0.240085,0.0
15:38:10:14.515,61,0.027802,0.149418,0.11579,0.0,0.0,0.044326,0.0,0.027962,0.14963,0.009694,0.0,0.0,0.044324,0.0,0.044286,0.0,0.013616,0.091245,0.122116,0.039368,0.051794,0.0,0.026724,0.085419,0.151056,0.0,0.0,0.046891,0.052378,0.133775,0.148024,0.093885,0.038476,0.114457,0.06131,0.043322,0.042497,0.12681,0.124714,0.041219,0.050562,0.041053,0.040941,0.083437,0.0,0.0,0.014887,0.130793,0.135922,0.196643,0.239749,0.0
15:38:10:15.515,61,0.023505,0.150072,0.115199,0.0,0.0,0.043877,0.0,0.023679,0.150281,0.010353,0.0,0.0,0.043876,0.0,0.043999,0.0,0.013584,0.089848,0.118879,0.03893,0.05164,0.0,0.026588,0.084828,0.150065,0.0,0.0,0.046578,0.05203,0.13205,0.145467,0.093447,0.038256,0.114076,0.061157,0.043158,0.042332,0.124808,0.121827,0.040952,0.050216,0.03984,0.039729,0.083372,0.0,0.0,0.014849,0.1287,0.133867,0.192356,0.234351,0.0
15:38:10:16.515,61,0.021566,0.151342,0.114724,0.0,0.0,0.043248,0.0,0.021744,0.151551,0.010936,0.0,0.0,0.043246,0.0,0.04344,0.0,0.013628,0.086583,0.113456,0.038343,0.051365,0.0,0.026326,0.084627,0.14933,0.0,0.0,0.046164,0.051549,0.127445,0.14023,0.091406,0.037886,0.113574,0.061005,0.042926,0.042094,0.120273,0.116908,0.040682,0.04984,0.039627,0.039514,0.082938,0.0,0.0,0.014774,0.123488,0.128312,0.190483,0.23178,0.0
15:38:10:17.515,61,0.020291,0.151713,0.114668,0.0,0.0,0.042851,0.0,0.020468,0.151922,0.011042,0.0,0.0,0.042849,0.0,0.043173,0.0,0.013604,0.085448,0.111661,0.037939,0.051229,0.0,0.026242,0.084177,0.14863,0.0,0.0,0.045854,0.051208,0.12597,0.138624,0.090774,0.037672,0.113418,0.060992,0.04282,0.041984,0.11865,0.115138,0.040445,0.04953,0.03906,0.038946,0.082744,0.0,0.0,0.014766,0.122056,0.126825,0.189728,0.230938,0.0
15:38:10:18.516,61,0.02237,0.15242,0.114989,0.0,0.0,0.042493,0.0,0.022489,0.152634,0.010776,0.0,0.0,0.042491,0.0,0.043008,0.0,0.013573,0.084865,0.110864,0.037774,0.051299,0.0,0.026015,0.084396,0.148455,0.0,0.0,0.045708,0.051029,0.125222,0.137803,0.09065,0.037533,0.11359,0.061148,0.04292,0.042074,0.118086,0.114468,0.040457,0.049496,0.03926,0.039144,0.08277,0.0,0.0,0.01484,0.122106,0.127077,0.192444,0.236589,0.0
15:38:10:19.516,61,0.065413,0.153941,0.11598,0.0,0.0,0.042287,0.0,0.06541,0.15417,0.009884,0.0,0.0,0.042285,0.0,0.042898,0.0,0.013524,0.084662,0.110724,0.037691,0.051349,0.0,0.025623,0.086527,0.148656,0.0,0.0,0.045695,0.050975,0.12482,0.137318,0.090787,0.037517,0.113672,0.061202,0.043063,0.042198,0.118304,0.11454,0.040561,0.049549,0.040394,0.040263,0.082996,0.0,0.0,0.014901,0.123003,0.127804,0.193915,0.238698,0.0
15:38:10:20.516,61,0.370638,0.326226,0.094195,0.0,0.0,0.059508,0.0,0.37092,0.326539,0.029484,0.0,0.0,0.059517,0.0,0.043291,0.0,0.013644,0.08552,0.117386,0.041591,0.051745,0.0,0.027434,0.109869,0.191832,0.0,0.0,0.04581,0.051129,0.125189,0.138167,0.092453,0.037543,0.113732,0.061202,0.044205,0.043034,0.121394,0.126735,0.041298,0.051857,0.082258,0.082107,0.09162,0.0,0.0,0.014883,0.20975,0.227612,0.196926,0.240251,0.0
15:38:10:21.516,61,0.891635,0.260914,0.107342,0.0,0.0,0.057045,0.0,0.892268,0.261308,0.011545,0.0,0.0,0.057052,0.0,0.043388,0.0,0.013782,0.083017,0.107804,0.042477,0.052263,0.0,0.075122,0.115863,0.207135,0.0,0.0,0.04605,0.051584,0.121119,0.135466,0.092787,0.037065,0.156314,0.074017,0.060818,0.059429,0.121996,0.129829,0.06154,0.101687,0.105465,0.105572,0.136097,0.0,0.0,0.014967,0.233955,0.291029,0.292474,0.364949,0.0
15:38:10:22.516,61,0.959511,0.253814,0.109155,0.0,0.0,0.056671,0.0,0.959571,0.254217,0.008945,0.0,0.0,0.056677,0.0,0.043377,0.0,0.013823,0.080277,0.103359,0.042852,0.052908,0.0,0.085933,0.118899,0.214357,0.0,0.0,0.046229,0.051968,0.116915,0.131233,0.092866,0.036434,0.166657,0.077797,0.065697,0.064222,0.121978,0.131121,0.067096,0.112557,0.122825,0.122963,0.148953,0.0,0.0,0.015156,0.246298,0.313387,0.28146,0.344907,0.0
